ID,Section,Status,Pass,Subtopic,Authors,Year,Article Title,Journal,Volume / Issue / Pages,Study Type,Population / Scope,DOI,DOI URL,Full Text URL,PDF Available,Hosting Status,Tags,Suggested Local Filename
11-P1-06,11. Women with ADHD,Candidate,Pass 1,Adult Women / Late Diagnosis / Systematic Review,"Attoe, D. E.; Climie, E. A.",2023,Miss. Diagnosis: A Systematic Review of ADHD in Adult Women,Journal of Attention Disorders,"27(7), 645-657",Systematic review,Eight studies examining the impact of undiagnosed ADHD and adult ADHD diagnosis in women,10.1177/10870547231161533,https://doi.org/10.1177/10870547231161533,https://pmc.ncbi.nlm.nih.gov/articles/PMC10173330/,Yes - open access,LINK ONLY for a public commercial website - CC BY-NC 4.0,ADHD; Women; Adult Diagnosis; Late Diagnosis; Missed Diagnosis; Social-Emotional Wellbeing; Systematic Review,11_2023_Attoe_Miss-Diagnosis-Adult-Women-ADHD.pdf
11-P1-07,11. Women with ADHD,Candidate,Pass 1,Adult Diagnosis / Lived Experience / Mixed Methods,"Babinski, D. E.; Libsack, E. J.",2025,Adult Diagnosis of ADHD in Women: A Mixed Methods Investigation,Journal of Attention Disorders,"29(3), 207-219",Mixed-methods qualitative focus-group study,"14 women diagnosed with ADHD in adulthood; diagnostic barriers, masking, self-advocacy, benefits and costs of diagnosis, and access to care",10.1177/10870547241297897,https://doi.org/10.1177/10870547241297897,https://pmc.ncbi.nlm.nih.gov/articles/PMC11694561/,Yes - open access,LINK ONLY for a public commercial website - CC BY-NC 4.0,ADHD; Women; Adult Diagnosis; Late Diagnosis; Masking; Self-Advocacy; Lived Experience; Qualitative,11_2025_Babinski_Libsack_Adult-Diagnosis-Women-ADHD.pdf
11-P1-08,11. Women with ADHD,Candidate,Pass 1,Undiagnosed ADHD / Adverse Experiences / Women,"Holden, E.; Kobayashi-Wood, H.",2025,Adverse experiences of women with undiagnosed ADHD and the invaluable role of diagnosis,Scientific Reports,"15, 20945",Mixed-methods survey,"28 women with late-diagnosed ADHD; perceived effects of delayed diagnosis across childhood, adolescence, and adulthood",10.1038/s41598-025-04782-y,https://doi.org/10.1038/s41598-025-04782-y,https://pmc.ncbi.nlm.nih.gov/articles/PMC12218314/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Women; Late Diagnosis; Undiagnosed ADHD; Self-Esteem; Shame; Quality of Life; Lived Experience; Open Access,11_2025_Holden_Undiagnosed-Women-ADHD-Adverse-Experiences.pdf
11-P1-09,11. Women with ADHD,Candidate,Pass 1,Girls / Lived Experience / Masking and Context,"Williams, T.; Barclay, I.; Bevan-Jones, R.; Livingston, L. A.; Agha, S. S.; Ford, T.; John, A.; Sayal, K.; Thapar, A.; Martin, J.",2025,Reflections on the manifestation of attention-deficit hyperactivity disorder in girls from young adults with lived experiences: a qualitative study,The British Journal of Psychiatry,"227(5), 775-782",Qualitative interview study,"12 young adults ages 18-25, including 10 women and 2 non-binary participants assigned female at birth, reflecting on childhood ADHD presentation",10.1192/bjp.2025.10376,https://doi.org/10.1192/bjp.2025.10376,https://pmc.ncbi.nlm.nih.gov/articles/PMC12550658/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Girls; Female Presentation; Masking; Compensation; Internalized Symptoms; Social Context; Qualitative; Open Access,11_2025_Williams_Girls-ADHD-Lived-Experience.pdf
11-P1-10,11. Women with ADHD,Candidate,Pass 1,Diagnostic Process / Girls vs Boys,"Klefsjo, U.; Kantzer, A. K.; Gillberg, C.; Billstedt, E.",2021,The road to diagnosis and treatment in girls and boys with ADHD - gender differences in the diagnostic process,Nordic Journal of Psychiatry,"75(4), 301-305",Retrospective medical-record study,"100 child and adolescent psychiatric outpatients with ADHD; 50 girls and 50 boys; referral reasons, diagnostic process, and treatment history",10.1080/08039488.2020.1850859,https://doi.org/10.1080/08039488.2020.1850859,https://pubmed.ncbi.nlm.nih.gov/33241961/,Free article / publisher access,LINK ONLY - Taylor & Francis copyright,ADHD; Girls; Diagnosis; Referral; Emotional Symptoms; Diagnostic Delay; Gender Differences; Clinical Process,11_2021_Klefsjo_Girls-Boys-ADHD-Diagnostic-Process.pdf
11-P1-11,11. Women with ADHD,Candidate,Pass 1,Hyperactivity / Objective Measurement / Adults,"Wettstein, R.; Navarro Ovando, V.; Pirgon, E.; Kroesen, J.; Wettstein, K.; Kroesen, H.; Mathot, R.; Dumont, G.",2024,Absent or Hidden? Hyperactivity in Females With ADHD,Journal of Attention Disorders,"28(12), 1589-1597",Large clinical observational study using objective motor-activity measurement,"13,179 adults with ADHD and 1,910 adults without ADHD; approximately half of ADHD group female",10.1177/10870547241273152,https://doi.org/10.1177/10870547241273152,https://pubmed.ncbi.nlm.nih.gov/39161237/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Women; Females; Hyperactivity; Motor Activity; Objective Measurement; Diagnostic Bias; Adults,11_2024_Wettstein_Hyperactivity-Females-ADHD.pdf
11-P1-12,11. Women with ADHD,Candidate,Pass 1,Adult Sex Differences / Severity / Comorbidity / Function,"Mestres, F.; Richarte, V.; Crespin, J. J.; Torrent, C.; Biel, S.; Ramos, C.; Ibanez, P.; Oltra-Arano, L.; Corrales, M.; Amoretti, S.; Fadeuilhe, C.; Ramos-Quiroga, J. A.",2025,Sex differences in adults with attention-deficit/hyperactivity disorder: A population-based study,European Psychiatry,"68(1), e90",Population-based cross-sectional study,"900 adults diagnosed with ADHD; sex differences in ADHD severity, psychiatric comorbidity, functioning, disability, and subtype",10.1192/j.eurpsy.2025.2441,https://doi.org/10.1192/j.eurpsy.2025.2441,https://pmc.ncbi.nlm.nih.gov/articles/PMC12260720/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Adults; Women; Sex Differences; Depression; Anxiety; Functional Impairment; Disability; Open Access,11_2025_Mestres_Adult-Sex-Differences-ADHD.pdf
11-P1-13,11. Women with ADHD,Candidate,Pass 1,Girls / Psychopathology / Prospective Outcomes,"Biederman, J.; Monuteaux, M. C.; Mick, E.; Spencer, T.; Wilens, T. E.; Klein, K. L.; Price, J. E.; Faraone, S. V.",2006,"Psychopathology in females with attention-deficit/hyperactivity disorder: a controlled, five-year prospective study",Biological Psychiatry,"60(10), 1098-1105",Blind five-year prospective longitudinal study,140 girls with ADHD and 122 girls without ADHD ages 6-18 at baseline; psychiatric outcomes assessed at five-year follow-up,10.1016/j.biopsych.2006.02.031,https://doi.org/10.1016/j.biopsych.2006.02.031,https://pubmed.ncbi.nlm.nih.gov/16712802/,Publisher access,LINK ONLY - Elsevier copyright,ADHD; Girls; Women; Prospective; Depression; Anxiety; Substance Dependence; Comorbidity; Longitudinal,11_2006_Biederman_Psychopathology-Females-ADHD-5-Year.pdf
11-P1-14,11. Women with ADHD,Candidate,Pass 1,Girls to Early Adulthood / Self-Harm / Prospective Follow-up,"Hinshaw, S. P.; Owens, E. B.; Zalecki, C.; Huggins, S. P.; Montenegro-Nevado, A. J.; Schrodek, E.; Swanson, E. N.",2012,Prospective follow-up of girls with attention-deficit/hyperactivity disorder into early adulthood: continuing impairment includes elevated risk for suicide attempts and self-injury,Journal of Consulting and Clinical Psychology,"80(6), 1041-1051",Ten-year prospective longitudinal follow-up,140 girls with childhood ADHD and 88 matched comparison girls; outcomes assessed at ages 17-24 with 95% retention,10.1037/a0029451,https://doi.org/10.1037/a0029451,https://pmc.ncbi.nlm.nih.gov/articles/PMC3543865/,Yes - PMC author manuscript,LINK ONLY - APA copyright / manuscript redistribution rights not independently cleared,ADHD; Girls; Women; Early Adulthood; Self-Harm; Suicide Attempts; Functional Impairment; Longitudinal,11_2012_Hinshaw_Girls-ADHD-Early-Adulthood-Self-Harm.pdf
11-P1-15,11. Women with ADHD,Candidate,Pass 1,Girls to Adulthood / Diagnostic Persistence / Cross-Domain Outcomes,"Owens, E. B.; Zalecki, C.; Gillette, P.; Hinshaw, S. P.",2017,Girls with childhood ADHD as adults: Cross-domain outcomes by diagnostic persistence,Journal of Consulting and Clinical Psychology,"85(7), 723-736",Sixteen-year prospective longitudinal follow-up,140 girls with rigorously diagnosed childhood ADHD and 88 matched comparison girls followed into adulthood,10.1037/ccp0000217,https://doi.org/10.1037/ccp0000217,https://pmc.ncbi.nlm.nih.gov/articles/PMC5512560/,Yes - PMC author manuscript,LINK ONLY - APA copyright / manuscript redistribution rights not independently cleared,ADHD; Girls; Women; Adulthood; Persistence; Remission; Education; Unplanned Pregnancy; Functional Impairment; Longitudinal,11_2017_Owens_Girls-ADHD-Adult-Outcomes-Persistence.pdf
12-01,12. Hormones & ADHD,Final,,Sex Hormones / Systematic Review,"Osianlis, E.; Thomas, E. H. X.; Jenkins, L. M.; Gurvich, C.",2025,ADHD and Sex Hormones in Females: A Systematic Review,Journal of Attention Disorders,"29(9), 706-723",Systematic review,"11 studies examining ADHD symptoms, medication effects, and hormonal changes in females, including puberty, menstrual cycle, and pregnancy",10.1177/10870547251332319,https://doi.org/10.1177/10870547251332319,https://pmc.ncbi.nlm.nih.gov/articles/PMC12145478/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; Females; Sex Hormones; Estrogen; Progesterone; Puberty; Menstrual Cycle; Pregnancy; Systematic Review; Open Access,12_2025_Osianlis_ADHD-Sex-Hormones-Systematic-Review.pdf
12-02,12. Hormones & ADHD,Final,,Menstrual Health / Scoping Review,"Kennedy, G.; Baran-Goldwax, M.; Lippe, S.",2026,Menstrual health and Attention-Deficit/Hyperactivity Disorder (ADHD) symptoms: A scoping review,Women's Health,"22, 17455057261460285",Scoping review with critical appraisal,20 primary studies examining menstrual health characteristics and ADHD diagnosis or symptoms; samples ranged from 1 to 405 participants ages 13-49,10.1177/17455057261460285,https://doi.org/10.1177/17455057261460285,https://pmc.ncbi.nlm.nih.gov/articles/PMC13260955/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; Menstruation; Menstrual Health; Premenstrual Symptoms; Dysmenorrhea; Stimulants; Scoping Review; Open Access,12_2026_Kennedy_Menstrual-Health-ADHD-Scoping-Review.pdf
12-03,12. Hormones & ADHD,Final,,Estradiol / Progesterone / Menstrual Cycle,"Roberts, B.; Eisenlohr-Moul, T.; Martel, M. M.",2018,Reproductive steroids and ADHD symptoms across the menstrual cycle,Psychoneuroendocrinology,"88, 105-114",Prospective daily hormone and symptom study,"32 regularly cycling young adult women; daily salivary estradiol, progesterone, testosterone, and ADHD symptom ratings across 35 days",10.1016/j.psyneuen.2017.11.015,https://doi.org/10.1016/j.psyneuen.2017.11.015,https://pmc.ncbi.nlm.nih.gov/articles/PMC5803442/,Yes - PMC author manuscript,LINK ONLY - author manuscript carries noncommercial/no-derivatives restrictions,ADHD; Estradiol; Progesterone; Testosterone; Menstrual Cycle; Impulsivity; Hormone Fluctuation; Prospective,12_2018_Roberts_Reproductive-Steroids-ADHD-Menstrual-Cycle.pdf
12-04,12. Hormones & ADHD,Final,,Premenstrual Medication Response / Case Series,"de Jong, M.; Wynchank, D. S. M. R.; van Andel, E.; Beekman, A. T. F.; Kooij, J. J. S.",2023,Female-specific pharmacotherapy in ADHD: premenstrual adjustment of psychostimulant dosage,Frontiers in Psychiatry,"14, 1306194",Community case series,Nine adult women with ADHD and premenstrual worsening of ADHD and mood symptoms; monitored for 6-24 months after premenstrual stimulant dose increases,10.3389/fpsyt.2023.1306194,https://doi.org/10.3389/fpsyt.2023.1306194,https://pmc.ncbi.nlm.nih.gov/articles/PMC10751335/,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Women; Premenstrual; Menstrual Cycle; Psychostimulants; Medication Response; Luteal Phase; Case Series; Open Access,12_2023_deJong_Premenstrual-Stimulant-Dose-Adjustment-ADHD.pdf
12-05,12. Hormones & ADHD,Final,,PMDD / ADHD / Premenstrual Symptoms,"Broughton, T.; Lambert, E.; Wertz, J.; Agnew-Blais, J.",2025,Increased risk of provisional premenstrual dysphoric disorder (PMDD) among females with attention-deficit hyperactivity disorder (ADHD): cross-sectional survey study,The British Journal of Psychiatry,"226(6), 410-417",Cross-sectional survey study,"715 participants ages 18-34 assigned female at birth; self-reported clinical ADHD, ASRS-based ADHD, and provisional PMDD assessed",10.1192/bjp.2025.104,https://doi.org/10.1192/bjp.2025.104,https://pmc.ncbi.nlm.nih.gov/articles/PMC7617793/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; PMDD; Premenstrual Dysphoric Disorder; Menstrual Cycle; Women; Premenstrual Symptoms; Open Access,12_2025_Broughton_PMDD-Risk-Females-ADHD.pdf
12-06,12. Hormones & ADHD,Final,,Hormonal Life Stages / Menstrual Cycle / Postpartum / Menopause,"Osianlis, E.; Thomas, E. H. X.; Li, Q.; Bellgrove, M.; May, T.; Chapman, D.; Kulkarni, J.; Gurvich, C.",2026,ADHD in females: Survey findings on symptoms across hormonal life stages,Journal of Psychiatric Research,"193, 208-215",Cross-sectional survey study,"600 females reporting ADHD diagnosis and symptoms; perceived symptom changes across menstrual, postpartum, and menopausal life stages",10.1016/j.jpsychires.2025.11.035,https://doi.org/10.1016/j.jpsychires.2025.11.035,https://www.sciencedirect.com/science/article/pii/S0022395625007381,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; Females; Hormonal Life Stages; Menstrual Cycle; Luteal Phase; Postpartum; Menopause; Survey; Open Access,12_2026_Osianlis_ADHD-Hormonal-Life-Stages-Survey.pdf
12-07,12. Hormones & ADHD,Final,,Menstruation / Perinatal / Menopause / Comparative Study,"Boyd, C.; Wrigley, M.; Kilbride, K.; Mulligan, A.; Bramham, J.",2026,"ADHD and the female reproductive stages: menstruation, perinatal and menopause",Archives of Women's Mental Health,"29(3), Article 89",Cross-sectional comparative study,"602 females; 377 with ADHD and 225 without; menstrual regularity, premenstrual symptoms, retrospective postpartum depression, and peri/post-menopausal symptoms",10.1007/s00737-026-01718-x,https://doi.org/10.1007/s00737-026-01718-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC13219175/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Women; Menstruation; PMDD; Perinatal; Postpartum Depression; Menopause; Reproductive Stages; Open Access,12_2026_Boyd_ADHD-Female-Reproductive-Stages.pdf
12-08,12. Hormones & ADHD,Final,,Pregnancy / Symptom Course / Medication Status,"Baker, A. S.; Wales, R.; Noe, O.; Gaccione, P.; Freeman, M. P.; Cohen, L. S.",2022,The Course of ADHD during Pregnancy,Journal of Attention Disorders,"26(2), 143-148",Prospective observational pregnancy study,"25 pregnant women with ADHD followed before 20 weeks, at 24 weeks, and at 36 weeks; medication discontinuers, maintainers, and adjusters compared",10.1177/1087054720975864,https://doi.org/10.1177/1087054720975864,https://pubmed.ncbi.nlm.nih.gov/33307923/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Pregnancy; Women; Stimulants; Medication Discontinuation; Mood; Functional Impairment; Prospective,12_2022_Baker_Course-ADHD-During-Pregnancy.pdf
12-09,12. Hormones & ADHD,Final,,Postpartum Depression / Anxiety / Registry,"Andersson, A.; Garcia-Argibay, M.; Viktorin, A.; Ghirardi, L.; Butwicka, A.; Skoglund, C.; Madsen, K. B.; D'Onofrio, B. M.; Lichtenstein, P.; Tuvblad, C.; Larsson, H.",2023,Depression and anxiety disorders during the postpartum period in women diagnosed with attention deficit hyperactivity disorder,Journal of Affective Disorders,"325, 817-823",Population register-based cohort study,"773,047 women giving birth in Sweden from 2005-2013; 3,515 had an ADHD diagnosis before pregnancy; postpartum depression and anxiety diagnoses assessed",10.1016/j.jad.2023.01.069,https://doi.org/10.1016/j.jad.2023.01.069,https://www.sciencedirect.com/science/article/pii/S016503272300085X,Yes - open access,OPEN ACCESS - exact Creative Commons license should be verified before local rehosting,ADHD; Women; Postpartum; Postpartum Depression; Anxiety; Pregnancy; Registry; Population Study,12_2023_Andersson_Postpartum-Depression-Anxiety-ADHD.pdf
12-10,12. Hormones & ADHD,Final,,Perimenopause / Population Cohort,"Smari, U. J.; Valdimarsdottir, U. A.; Wynchank, D.; de Jong, M.; Aspelund, T.; Hauksdottir, A.; Thordardottir, E. B.; Tomasson, G.; Jakobsdottir, J.; Lu, D.; Nevriana, A.; Larsson, H.; Kooij, S.; Zoega, H.",2025,Perimenopausal symptoms in women with and without ADHD: A population-based cohort study,European Psychiatry,"68(1), e133",Population-based cohort study,"535 women with ADHD and 4,857 without ADHD; perimenopausal psychological, somatic, and urogenital symptoms compared across age groups",10.1192/j.eurpsy.2025.10101,https://doi.org/10.1192/j.eurpsy.2025.10101,https://pmc.ncbi.nlm.nih.gov/articles/PMC12538516/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; Women; Perimenopause; Menopause; Psychological Symptoms; Somatic Symptoms; Population Cohort; Open Access,12_2025_Smari_Perimenopausal-Symptoms-Women-ADHD.pdf
12-11,12. Hormones & ADHD,Final,,Menopause / ADHD Symptoms / Quality of Life,"Chapman, L.; Gupta, K.; Hunter, M. S.; Dommett, E. J.",2025,Examining the Link Between ADHD Symptoms and Menopausal Experiences,Journal of Attention Disorders,"29(14), 1263-1277",Cross-sectional exploratory study,"656 women ages 45-60, including 245 with an existing ADHD diagnosis; ADHD symptoms, menopause stage, menopausal symptoms, and quality-of-life measures",10.1177/10870547251355006,https://doi.org/10.1177/10870547251355006,https://pmc.ncbi.nlm.nih.gov/articles/PMC12569137/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; Women; Menopause; Perimenopause; Estrogen; Inattention; Hyperactivity; Quality of Life; Open Access,12_2025_Chapman_ADHD-Menopausal-Experiences.pdf
12-P1-01,12. Hormones & ADHD,Candidate,Pass 1,Sex Hormones / Systematic Review,"Osianlis, E.; Thomas, E. H. X.; Jenkins, L. M.; Gurvich, C.",2025,ADHD and Sex Hormones in Females: A Systematic Review,Journal of Attention Disorders,"29(9), 706-723",Systematic review,"11 studies investigating ADHD symptoms, medication effects, and hormonal changes in females, including puberty, menstrual cycle, and pregnancy",10.1177/10870547251332319,https://doi.org/10.1177/10870547251332319,https://pmc.ncbi.nlm.nih.gov/articles/PMC12145478/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; Females; Sex Hormones; Estrogen; Progesterone; Puberty; Menstrual Cycle; Pregnancy; Systematic Review; Open Access,12_2025_Osianlis_ADHD-Sex-Hormones-Systematic-Review.pdf
12-P1-02,12. Hormones & ADHD,Candidate,Pass 1,Menstrual Health / Scoping Review,"Kennedy, G.; Baran-Goldwax, M.; Lippe, S.",2026,Menstrual health and Attention-Deficit/Hyperactivity Disorder (ADHD) symptoms: A scoping review,Women's Health,"22, 17455057261460285",Scoping review with critical appraisal,20 primary studies examining menstrual health characteristics and ADHD diagnosis or symptoms; samples ranged from 1 to 405 participants ages 13-49,10.1177/17455057261460285,https://doi.org/10.1177/17455057261460285,https://pmc.ncbi.nlm.nih.gov/articles/PMC13260955/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; Menstruation; Menstrual Health; Premenstrual Symptoms; Dysmenorrhea; Stimulants; Scoping Review; Open Access,12_2026_Kennedy_Menstrual-Health-ADHD-Scoping-Review.pdf
12-P1-03,12. Hormones & ADHD,Candidate,Pass 1,Estradiol / Progesterone / Menstrual Cycle,"Roberts, B.; Eisenlohr-Moul, T.; Martel, M. M.",2018,Reproductive steroids and ADHD symptoms across the menstrual cycle,Psychoneuroendocrinology,"88, 105-114",Prospective daily hormone and symptom study,"32 regularly cycling young adult women; daily salivary estradiol, progesterone, testosterone, and ADHD symptom ratings across 35 days",10.1016/j.psyneuen.2017.11.015,https://doi.org/10.1016/j.psyneuen.2017.11.015,https://pmc.ncbi.nlm.nih.gov/articles/PMC5803442/,Yes - PMC author manuscript,LINK ONLY - author manuscript available under CC BY-NC-ND 4.0; not suitable for commercial rehosting,ADHD; Estradiol; Progesterone; Testosterone; Menstrual Cycle; Impulsivity; Hormone Fluctuation; Prospective,12_2018_Roberts_Reproductive-Steroids-ADHD-Menstrual-Cycle.pdf
12-P1-04,12. Hormones & ADHD,Candidate,Pass 1,Premenstrual Medication Response / Case Series,"de Jong, M.; Wynchank, D. S. M. R.; van Andel, E.; Beekman, A. T. F.; Kooij, J. J. S.",2023,Female-specific pharmacotherapy in ADHD: premenstrual adjustment of psychostimulant dosage,Frontiers in Psychiatry,"14, 1306194",Community case series,Nine adult women with ADHD and premenstrual worsening of ADHD and mood symptoms; monitored for 6-24 months after premenstrual stimulant dose increases,10.3389/fpsyt.2023.1306194,https://doi.org/10.3389/fpsyt.2023.1306194,https://pmc.ncbi.nlm.nih.gov/articles/PMC10751335/,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Women; Premenstrual; Menstrual Cycle; Psychostimulants; Medication Response; Luteal Phase; Case Series; Open Access,12_2023_deJong_Premenstrual-Stimulant-Dose-Adjustment-ADHD.pdf
12-P1-05,12. Hormones & ADHD,Candidate,Pass 1,Menstrual Cycle / Lived Experience,"Burger, I.; Erlandsson, K.; Borneskog, C.",2024,Perceived associations between the menstrual cycle and Attention Deficit Hyperactivity Disorder (ADHD): A qualitative interview study exploring lived experiences,Sexual & Reproductive Healthcare,"40, 100975",Qualitative interview study,10 participants reporting perceived menstrual-cycle-related changes in ADHD symptoms; semi-structured interviews and reflexive thematic analysis,10.1016/j.srhc.2024.100975,https://doi.org/10.1016/j.srhc.2024.100975,https://pubmed.ncbi.nlm.nih.gov/38678676/,Free article / publisher access,LINK ONLY - exact reuse license not independently verified,ADHD; Menstrual Cycle; Premenstrual; Lived Experience; Women; Qualitative; Symptom Fluctuation,12_2024_Burger_Menstrual-Cycle-ADHD-Lived-Experience.pdf
12-P1-06,12. Hormones & ADHD,Candidate,Pass 1,PMDD / ADHD / Premenstrual Symptoms,"Broughton, T.; Lambert, E.; Wertz, J.; Agnew-Blais, J.",2025,Increased risk of provisional premenstrual dysphoric disorder (PMDD) among females with attention-deficit hyperactivity disorder (ADHD): cross-sectional survey study,The British Journal of Psychiatry,"226(6), 410-417",Cross-sectional survey study,"715 participants ages 18-34 assigned female at birth; clinician-reported ADHD, ASRS-based ADHD, and provisional PMDD assessed with the PSST",10.1192/bjp.2025.104,https://doi.org/10.1192/bjp.2025.104,https://pmc.ncbi.nlm.nih.gov/articles/PMC7617793/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution,ADHD; PMDD; Premenstrual Dysphoric Disorder; Menstrual Cycle; Women; Premenstrual Symptoms; Open Access,12_2025_Broughton_PMDD-Risk-Females-ADHD.pdf
12-P1-07,12. Hormones & ADHD,Candidate,Pass 1,PMDD / Inattention / Impulsivity Across Cycle,"Lin, P.-C.; Long, C.-Y.; Ko, C.-H.; Yen, J.-Y.",2024,Comorbid Attention Deficit Hyperactivity Disorder in Women with Premenstrual Dysphoric Disorder,Journal of Women's Health,"33(9), 1267-1275",Case-control menstrual-phase study,"58 women with PMDD and 50 controls assessed during pre-ovulatory, mid-luteal, and late-luteal phases for inattention, memory difficulties, and impulsivity",10.1089/jwh.2023.0907,https://doi.org/10.1089/jwh.2023.0907,https://pubmed.ncbi.nlm.nih.gov/38836765/,Publisher access,LINK ONLY - publisher copyright / reuse license not independently verified,ADHD; PMDD; Women; Inattention; Impulsivity; Late Luteal Phase; Menstrual Cycle,12_2024_Lin_PMDD-ADHD-Menstrual-Phase.pdf
12-P1-08,12. Hormones & ADHD,Candidate,Pass 1,Hormone-Related Mood Disorders / Lifespan,"Dorani, F.; Bijlenga, D.; Beekman, A. T. F.; van Someren, E. J. W.; Kooij, J. J. S.",2021,Prevalence of hormone-related mood disorder symptoms in women with ADHD,Journal of Psychiatric Research,"133, 10-15",Cross-sectional clinical study,"209 consecutive women with ADHD ages 18-71 assessed for PMDD symptoms, postpartum depression symptoms, and climacteric mood symptoms",10.1016/j.jpsychires.2020.12.005,https://doi.org/10.1016/j.jpsychires.2020.12.005,https://pubmed.ncbi.nlm.nih.gov/33302160/,Publisher access,LINK ONLY - Elsevier copyright,ADHD; Women; PMDD; Postpartum Depression; Climacteric Symptoms; Menopause; Hormone-Related Mood; Lifespan,12_2021_Dorani_Hormone-Related-Mood-Symptoms-Women-ADHD.pdf
12-P1-09,12. Hormones & ADHD,Candidate,Pass 1,Hormonal Life Stages / Menstrual Cycle / Postpartum / Menopause,"Osianlis, E.; Thomas, E. H. X.; Li, Q.; Bellgrove, M.; May, T.; Chapman, D.; Kulkarni, J.; Gurvich, C.",2026,ADHD in females: Survey findings on symptoms across hormonal life stages,Journal of Psychiatric Research,"193, 208-215",Cross-sectional survey study,"600 females reporting ADHD diagnosis and symptoms; perceived symptom changes across menstrual, postpartum, and menopausal life stages",10.1016/j.jpsychires.2025.11.035,https://doi.org/10.1016/j.jpsychires.2025.11.035,https://www.sciencedirect.com/science/article/pii/S0022395625007381,Yes - open access,OPEN ACCESS - verify exact Creative Commons license before local rehosting,ADHD; Females; Hormonal Life Stages; Menstrual Cycle; Luteal Phase; Postpartum; Menopause; Survey,12_2026_Osianlis_ADHD-Hormonal-Life-Stages-Survey.pdf
12-P1-10,12. Hormones & ADHD,Candidate,Pass 1,Menstruation / Perinatal / Menopause / Cross-Stage,"Boyd, C.; Wrigley, M.; Kilbride, K.; Mulligan, A.; Bramham, J.",2026,"ADHD and the female reproductive stages: menstruation, perinatal and menopause",Archives of Women's Mental Health,"29(3), 89",Cross-sectional comparative study,"602 females; 377 with self-reported ADHD and 225 without; menstrual regularity, premenstrual symptoms, retrospective postpartum depression, and menopausal symptoms",10.1007/s00737-026-01718-x,https://doi.org/10.1007/s00737-026-01718-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC13219175/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Women; Menstruation; PMDD; Perinatal; Postpartum Depression; Menopause; Reproductive Stages; Open Access,12_2026_Boyd_ADHD-Female-Reproductive-Stages.pdf
12-P1-11,12. Hormones & ADHD,Candidate,Pass 1,Pregnancy / Symptom Course / Medication Status,"Baker, A. S.; Wales, R.; Noe, O.; Gaccione, P.; Freeman, M. P.; Cohen, L. S.",2022,The Course of ADHD during Pregnancy,Journal of Attention Disorders,"26(2), 143-148",Prospective observational pregnancy study,"25 pregnant women with ADHD followed before 20 weeks, at 24 weeks, and at 36 weeks; medication discontinuers, maintainers, and adjusters compared on ADHD symptoms, mood, stress, and function",10.1177/1087054720975864,https://doi.org/10.1177/1087054720975864,https://pubmed.ncbi.nlm.nih.gov/33307923/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Pregnancy; Women; Stimulants; Medication Discontinuation; Mood; Functional Impairment; Prospective,12_2022_Baker_Course-ADHD-During-Pregnancy.pdf
12-P1-12,12. Hormones & ADHD,Candidate,Pass 1,Postpartum Depression / Anxiety / Registry,"Andersson, A.; Garcia-Argibay, M.; Viktorin, A.; Ghirardi, L.; Butwicka, A.; Skoglund, C.; Madsen, K. B.; D'Onofrio, B. M.; Lichtenstein, P.; Tuvblad, C.; Larsson, H.",2023,Depression and anxiety disorders during the postpartum period in women diagnosed with attention deficit hyperactivity disorder,Journal of Affective Disorders,"325, 817-823",Population register-based cohort study,"773,047 women giving birth in Sweden from 2005-2013; 3,515 had an ADHD diagnosis before pregnancy; postpartum depression and anxiety diagnoses assessed",10.1016/j.jad.2023.01.069,https://doi.org/10.1016/j.jad.2023.01.069,https://www.sciencedirect.com/science/article/pii/S016503272300085X,Yes - open access,OPEN ACCESS - verify exact Creative Commons license before local rehosting,ADHD; Women; Postpartum; Postpartum Depression; Anxiety; Pregnancy; Registry; Population Study,12_2023_Andersson_Postpartum-Depression-Anxiety-ADHD.pdf
