ID,Section,Resource Type,Author / Speaker,Title,Publication / Platform,Date,URL,Why It Matters,Scaffold Relevance,Audience,Access Notes,Status
14-R02,14. Differential Diagnosis & Misdiagnosis,Mainstream psychology feature / multiple lived experiences,Devon Frye,Diagnosed as an Adult,Psychology Today,"September 3, 2024",https://www.psychologytoday.com/us/articles/202409/diagnosed-as-an-adult,"A nuanced look at adults eventually diagnosed with ADHD, autism, or bipolar disorder after years of incomplete or competing explanations. It highlights why childhood history matters for neurodevelopmental diagnoses and why anxiety or depression may be real but still fail to explain the full lifelong pattern.","Supports constructing a developmental timeline rather than relying only on current symptoms. School history, childhood organization, family observations, early coping systems, mood episodes, and the loss of external structure in adulthood can help clarify whether difficulties are longstanding, episodic, or secondary to another condition.",Adults seeking late diagnosis; clinicians; families; general readers,Free Psychology Today feature. It appropriately distinguishes true misdiagnosis from situations in which multiple diagnoses are simultaneously valid.,Final
14-R03,14. Differential Diagnosis & Misdiagnosis,Medically reviewed differential-diagnosis article,"Lana Burgess; medically reviewed by Ifeanyi Olele, DO, MBA, MS, FAPA",How are bipolar disorder and ADHD different?,Medical News Today,"Updated February 4, 2026",https://www.medicalnewstoday.com/articles/324366,"A clear public explanation of one of the most important ADHD differentials. Distractibility, impulsivity, high energy, irritability, and rapid speech can occur in both conditions, but bipolar disorder is defined by mood episodes while ADHD symptoms are generally chronic and developmentally persistent.","Encourages tracking symptom course rather than isolated behavior. A calendar or journal showing sustained baseline ADHD traits versus distinct periods of markedly changed sleep need, energy, mood, grandiosity, or behavior can give clinicians much more useful information than a single symptom list.",Adults with ADHD or bipolar concerns; families; clinicians; general readers,"Free medically reviewed article. ADHD and bipolar disorder can also co-occur, so an episodic pattern does not automatically rule ADHD out.",Final
14-R04,14. Differential Diagnosis & Misdiagnosis,Medically reviewed broad public explainer,"Eloise Porter; medically reviewed by Andy Watkins-McCall, MD, MPH",Conditions That Mimic ADHD,Healthline,"Updated July 11, 2025",https://www.healthline.com/health/adhd/adhd-misdiagnosis,"Broadens differential diagnosis beyond psychiatric labels. It discusses bipolar disorder and autism alongside sleep disorders, hearing problems, thyroid disease, seizures, blood-sugar problems, sensory-processing differences, and ordinary age-appropriate childhood behavior.","A reminder that attention problems should be observed in context. Sleep, physical symptoms, medication effects, hearing, sensory environment, eating patterns, and medical history belong in the personal inventory when attention or regulation changes unexpectedly.",Adults with ADHD concerns; parents; families; general readers,"Free medically reviewed Healthline article. It is a starting overview, not a diagnostic checklist.",Final
14-R05,14. Differential Diagnosis & Misdiagnosis,Mainstream science journalism,Allison Parshall,ADHD Misinformation Is Common on TikTok. Here's How to Spot It,Scientific American,"March 19, 2025",https://www.scientificamerican.com/article/how-to-spot-adhd-misinformation-on-tiktok/,Reports research finding that many highly viewed TikTok claims about ADHD symptoms and treatments do not match diagnostic criteria or empirical evidence. The piece also recognizes why people turn to social media when formal assessment is expensive or inaccessible.,"Useful for teaching the difference between recognition and diagnosis. Readers can use relatable online content to begin documenting patterns, but should ask whether symptoms are persistent, impairing, developmentally appropriate, present across contexts, and better explained by another condition before adopting a diagnostic conclusion.",Adults exploring ADHD; teens; parents; clinicians; general readers,Scientific American feature; access may vary. Social media can improve recognition in historically missed groups while still spreading inaccurate symptom claims.,Final
15-R01,15. Medication & Treatment,Psychiatrist-written public article,"Scott S. Shapiro, MD",The Best ADHD Treatments for Adults Who Need to Perform,Psychology Today,"Updated July 28, 2025",https://www.psychologytoday.com/us/blog/the-best-strategies-for-managing-adult-adhd/202506/the-best-adhd-treatments-for-adults-who,"A psychiatrist's practical overview of adult ADHD treatment that covers methylphenidate and amphetamine stimulants, non-stimulant options, CBT, comorbidity, combination approaches, and the reality that treatment often requires adjustment rather than finding one perfect medication immediately.","Strongly aligned with the scaffold model because Shapiro recommends tracking focus, mood, sleep, and appetite, using structured schedules and movement alongside medication, and pairing symptom improvement with CBT skills for planning, organization, time management, and emotional regulation.",Adults with ADHD; clinicians; partners; general readers,Free Psychology Today article. Medication examples are educational and not individualized prescribing advice.,Final
15-R02,15. Medication & Treatment,Mainstream reported treatment feature / lived experience,Natasha May,Ritalin is often first choice for ADHD – but a new Australian guide says there’s no one-size-fits-all,The Guardian,"September 30, 2024",https://www.theguardian.com/australia-news/2024/oct/01/ritalin-is-often-first-choice-for-adhd-but-a-new-australian-guide-says-theres-no-one-size-fits-all,"Combines lived experience with expert discussion of evidence-based prescribing. It explains that stimulants have the strongest evidence as first-line medication but that individual response varies substantially, making careful selection, titration, switching, and monitoring important.","Useful for teaching treatment as an iterative process. Track what improves, what does not, when benefits wear off, side effects, sleep, anxiety, appetite, and functional outcomes so prescriber decisions are based on patterns rather than vague recollection.",Adults with ADHD; families; clinicians; general readers,"Free Guardian feature. Medication should be initiated, adjusted, or discontinued with an appropriately qualified prescriber.",Final
15-R03,15. Medication & Treatment,Mainstream science report,Mark Johnson,"ADHD drugs work, but not the way experts thought",The Washington Post,"January 6, 2026",https://www.washingtonpost.com/health/2026/01/06/adhd-ritalin-sleep-children/,Reports on large-scale brain-imaging research suggesting that stimulant medications such as methylphenidate and amphetamine may exert important effects through reward and wakefulness circuitry rather than simply activating a narrowly defined 'attention circuit.',"Adds useful nuance to how readers think about medication. Improved task engagement may reflect changes in motivation, reward salience, and alertness as well as attention, which fits the broader scaffold model of supporting the conditions under which attention can be recruited and sustained.",Adults with ADHD; parents; clinicians; science-interested general readers,Washington Post article; subscription access may vary. The reported mechanism study does not overturn the established clinical evidence that stimulants reduce ADHD symptoms.,Final
15-R04,15. Medication & Treatment,Medically reviewed treatment overview,"William Moore; medically reviewed by Smitha Bhandari, MD",Adult ADHD: Treatment Overview,WebMD,"April 2, 2025",https://www.webmd.com/add-adhd/adult-adhd-treatment-overview,"A broad and accessible overview of adult ADHD care covering stimulants, non-stimulants, therapy, coaching, comorbid conditions, side effects, and the need to identify the specific areas of life that treatment is supposed to improve.","Especially useful because it presents multimodal treatment directly: medication may reduce core symptoms while CBT, coaching, routines, organizational systems, relationship work, and other practical supports address the day-to-day functional problems that medication alone may not solve.",Adults with ADHD; families; partners; general readers,"Free medically reviewed WebMD article. Some medication examples and regulatory approvals change over time, so readers should confirm current options with a prescriber.",Final
15-R05,15. Medication & Treatment,Mainstream health news report,Maria Godoy,"ADHD diagnoses are rising. 1 in 9 U.S. kids have gotten one, new study finds","NPR, Shots - Health News","May 23, 2024",https://www.npr.org/sections/shots-health-news/2024/05/23/1252941968/adhd-diagnoses-are-rising-1-in-9-u-s-kids-have-gotten-one-new-study-finds,"Although centered on new prevalence data, this NPR report includes an unusually clear treatment message from pediatric neurology experts: medication can be important for controlling impulsivity, overactivity, and inattention, but behavioral and educational strategies remain part of appropriate ADHD care.","Useful for families because it reinforces the 'two-pronged' idea. Medication can create more capacity to focus and regulate, while environmental supports, parent strategies, school accommodations, routines, and behavioral skills give that capacity somewhere useful to go.",Parents; families; educators; clinicians; general readers,Free NPR article. The treatment discussion is pediatric; adult treatment decisions require age-appropriate assessment and prescribing.,Final
16-R01,16. Substance Use & Self-Medication,Addiction-clinician public article,"Catherine Schay, MHC-LP, CASAC-T",ADHD and Substance Use Disorder: Key Challenges in Treatment,Psychology Today,"November 18, 2025",https://www.psychologytoday.com/us/blog/from-addiction-to-recovery/202511/adhd-and-substance-use-disorder-key-challenges-in-treatment,"A readable overview of why ADHD and substance-use disorders can reinforce one another. It addresses impulsivity, reward and motivation, self-medication reports, diagnostic confusion during active use or withdrawal, relapse risk, and the importance of treating both conditions rather than ignoring the ADHD during recovery.","Strong fit for integrated scaffolding: identify the function a substance is serving, build alternative strategies for sleep, emotional regulation, stimulation, organization, and impulse control, and combine ADHD supports with relapse-prevention work instead of treating them as separate problems.",Adults with ADHD and substance-use concerns; clinicians; families; recovery communities,Free Psychology Today article. Self-medication is one proposed pathway among several and should not be treated as the sole explanation for ADHD-associated substance-use risk.,Final
16-R02,16. Substance Use & Self-Medication,Mainstream first-person life story,"Francesca Jackson, as told to Charlotte Cripps",‘I self-medicated for years – until I was finally diagnosed with ADHD’,The Independent,"March 21, 2025",https://www.independent.co.uk/life-style/health-and-families/features/adhd-diagnosis-medication-nhs-b2718001.html,"A vivid lived account of using alcohol and prescription codeine to blunt anxiety, shame, fatigue, racing thoughts, and emotional overwhelm before ADHD was recognized. The story also shows how substance dependence, trauma, chronic pain, and neurodevelopmental symptoms can become intertwined.","Makes the functional question concrete: what feeling, state, or task is the substance helping the person escape, tolerate, or perform? Recovery scaffolds can then target those functions directly through emotional regulation, sleep, pain care, social support, structure, and ADHD treatment.",Adults with ADHD; people in recovery; families; clinicians; general readers,Mainstream first-person account. It illustrates one pathway into problematic substance use and should not be generalized as the explanation for all addiction in ADHD.,Final
16-R03,16. Substance Use & Self-Medication,Mainstream first-person essay,Jason Wilson,A new life: being diagnosed with ADHD in my 40s has given me something quite magical,The Guardian,"January 15, 2020",https://www.theguardian.com/society/commentisfree/2020/jan/15/a-new-life-being-diagnosed-with-adhd-in-my-40s-has-given-me-something-quite-magical,"Wilson reflects on late diagnosis, lifelong executive-function problems, alcohol and cigarette use, and the appeal of stimulation before he understood his ADHD. Importantly, he describes self-medication as only part of the explanation for the association between ADHD and addiction.","Useful for helping readers examine their own stimulation-seeking without moralizing it. Caffeine, nicotine, alcohol, drugs, food, screens, novelty, or frantic activity can all be logged by trigger and function, making it easier to replace risky regulation strategies with safer ones.",Adults with late-diagnosed ADHD; general readers; people questioning substance-use patterns,"Free Guardian essay. Some neurochemical explanations are simplified for a general audience, so empirical claims should be paired with the academic research section.",Final
16-R04,16. Substance Use & Self-Medication,Mainstream reported feature / lived experience,"Leah Willingham, Associated Press",They relied on marijuana to get through the day. But then days felt impossible without it,The Washington Post,"November 25, 2025",https://www.washingtonpost.com/lifestyle/2025/11/25/cannabis-disorder-marijuana-addiction/50ac6e5c-ca08-11f0-ac2a-e98510180900_story.html/,A strong public example of the point at which perceived relief can shift into dependence. One featured adult describes cannabis as soothing symptoms tied to undiagnosed ADHD and trauma while also noticing worsening concentration as high-potency daily use became compulsive.,"Helps readers monitor the difference between short-term relief and long-term function. Track dose or frequency, tolerance, withdrawal, memory, motivation, sleep, anxiety, concentration, spending, and whether the person increasingly needs the substance simply to feel normal.",Adults using cannabis; people with ADHD or anxiety; families; clinicians; general readers,"Washington Post / Associated Press feature; access may vary. The article is about cannabis use disorder broadly and includes ADHD as one self-reported reason for use, not as a claim that ADHD inevitably causes cannabis addiction.",Final
16-R05,16. Substance Use & Self-Medication,Public evidence-synthesis summary,"K. Rieke, Y. Sereda, H. J. Mai, and colleagues",ADHD and Substance Use Disorders in Adults: A Systematic Review,"U.S. Department of Veterans Affairs, Evidence Synthesis Program","Updated December 10, 2024",https://www.hsrd.research.va.gov/publications/esp/adult-adhd.cfm,"A high-value corrective to the common fear that taking prescribed stimulant medication for ADHD necessarily creates addiction. The review found no broad evidence that prescription stimulant treatment increases later substance-use disorder risk, while also noting limited evidence on diversion and misuse.","Supports a clear distinction between treatment and misuse. Medication can be tracked through prescribed dose, adherence, benefit, side effects, early refill requests, cravings, non-prescribed use, and diversion risk, while clinicians make individualized risk-benefit decisions for people with current or past SUD.",Adults with ADHD; veterans; clinicians; families; people in recovery,"Free federal evidence summary. The review found low-confidence or insufficient evidence for several outcomes, so it should not be simplified into a claim that stimulants either prevent or cause SUD.",Final
17-01,"17. Executive Function, Motivation & Task Initiation",Medically Reviewed Explainer,"Beth Sissons; medically reviewed by Ifeanyi Olele, DO, MBA, MS, FAPA",What is executive dysfunction in ADHD?,Medical News Today,2023-05-30,https://www.medicalnewstoday.com/articles/adhd-executive-function,"A clear overview of executive function difficulties associated with ADHD, including planning, prioritizing, working memory, emotional regulation, and starting and completing tasks.","Provides the conceptual foundation for external scaffolds such as routines, planners, checklists, clearer task structure, CBT strategies, and treatment. Executive dysfunction is a functional description, not a separate ADHD diagnosis.","Adults with ADHD, families, general readers","Free web article; medically reviewed. Uses several secondary and advocacy sources, so it is best treated as an accessible overview rather than primary evidence.",Verified
17-02,"17. Executive Function, Motivation & Task Initiation",Expert-Written Public Essay,"Sharon Saline, PsyD",How to Boost Motivation When You Have ADHD,Psychology Today,2024-08-03,https://www.psychologytoday.com/us/blog/on-your-way-with-adhd/202408/how-to-boost-motivation-when-you-have-adhd,"Connects task initiation problems with ambiguity, overwhelm, procrastination, and inconsistent motivation, while giving readers concrete ways to make an unstructured task easier to enter.","Directly supports chunking, brain dumps, small first steps, timers, rewards, accountability, and body doubling. The article cites research on procrastination and reward pathways, but simplified dopamine explanations should not be read as a complete account of ADHD motivation.","Adults and teens with ADHD, parents, educators, clinicians",Free web article; expert-authored and editorially reviewed.,Verified
17-03,"17. Executive Function, Motivation & Task Initiation",Lived-Experience Article,Isabelle O'Carroll,I Have ADHD. Here Are 9 Productivity Tips That Really Help Me,SELF,2020-03-18,https://www.self.com/story/adhd-productivity-hacks,"A readable first-person account of why standard productivity advice can fail and how one adult with ADHD adapts tasks, time, novelty, and accountability to make follow-through more realistic.","Offers highly usable scaffolds including tiny subtasks, visible priorities, time buffers, novelty, environmental changes, distraction reduction, and accountability. The author's experience is illustrative, not universal.","Adults with ADHD, newly diagnosed readers, general readers",Free web article; combines lived experience with comments from ADHD experts. Personal strategies should be adapted to individual needs.,Verified
17-04,"17. Executive Function, Motivation & Task Initiation",Expert Mental Health Column,Gill Straker and Jacqui Winship,Anna was overwhelmed by the administrative burden of her job. Self-compassion was the answer,The Guardian,2025-03-02,https://www.theguardian.com/commentisfree/2025/mar/03/adhd-in-the-workplace-management-advice-tips,"Shows how procrastination, overwhelm, anxiety, and self-criticism can reinforce one another when ADHD-related demands exceed a person's available executive resources.","Adds an emotional scaffold to task initiation: reduce shame, accept realistic limits, ask for help, regulate distress, and then re-engage with feasible tasks. The case example is explicitly a fictitious amalgam, not an individual clinical case report.","Adults with ADHD, workers, therapists, managers",Free Guardian column; expert-authored. Uses a composite clinical example and should not be treated as evidence that self-compassion alone resolves ADHD impairment.,Verified
17-05,"17. Executive Function, Motivation & Task Initiation",Clinical Strategy Article,"Michael Manos, PhD",What Is 'Body Doubling' and Can It Help With ADHD?,Cleveland Clinic Health Essentials,2025-01-06,https://health.clevelandclinic.org/body-doubling-for-adhd,"Explains body doubling as working in the presence of another person to create structure, accountability, and a stronger cue to begin or remain with a task.","A strong example of externalizing executive function through another person's presence, scheduled co-working, visible accountability, and defined work intervals. ADHD-specific controlled evidence for body doubling remains limited, so it is best framed as a practical strategy rather than a proven standalone treatment.","Adults and students with ADHD, families, general readers","Free clinical education article featuring behavioral health specialist Michael Manos, PhD. Evidence for the specific body-doubling technique is still developing.",Verified
18-01,18. ADHD Across the Lifespan,Science Journalism Feature,Lydia Denworth,Kids with ADHD May Still Have Symptoms as Adults,Scientific American,2024-10-15,https://www.scientificamerican.com/article/kids-with-adhd-may-still-have-symptoms-as-adults/,"Explains why ADHD should not be treated as a childhood-only condition, including evidence that symptoms can persist, fluctuate, or become less visible as people age.","Shows why scaffolds need to evolve rather than simply disappear with age. Support may shift from parents and teachers to self-managed routines, treatment continuity, workplace systems, and other adult structures, especially during stressful transitions.","Teens and adults with ADHD, parents, educators, clinicians, general readers",Scientific American web article. Access may be metered. The article distinguishes documented childhood onset from apparent adult-onset presentations and notes continuing research uncertainty.,Verified
18-02,18. ADHD Across the Lifespan,Expert Interview / Public Essay,"Mark Bertin, MD; featuring Mary Solanto, PhD",Preparing Students With ADHD for College,Psychology Today,2022-09-28,https://www.psychologytoday.com/us/blog/child-development-central/202209/preparing-students-adhd-college,Focuses on one of the most important lifespan transitions: moving from highly structured high school environments into the independence and unstructured time of college.,"Directly illustrates scaffold transfer. Parents and schools can gradually hand over scheduling, medication management, study routines, disability accommodations, and executive-function responsibilities rather than removing support all at once.","Teens with ADHD, college students, parents, educators",Free expert-authored web article based partly on an interview with ADHD researcher Mary Solanto. Practical guidance should be individualized to the student's actual functional needs.,Verified
18-03,18. ADHD Across the Lifespan,Reported Feature with Lived Experience,Bianca Nogrady,Adult ADHD diagnosis: ‘You’ve got to relook at your entire life’,The Guardian,2022-10-07,https://www.theguardian.com/society/2022/oct/08/adult-adhd-diagnosis-youve-got-to-relook-at-your-entire-life,Explores why ADHD may be missed in childhood and recognized only when adult responsibilities exceed the coping systems that previously kept difficulties manageable.,"Helps readers identify environmental scaffolding that may have masked impairment, such as family structure, school routines, or a partner handling administrative tasks, and encourages rebuilding intentional supports when life demands change.","Adults considering assessment, families, general readers",Free Guardian feature drawing on lived experience and ADHD experts. Recognition of symptoms is not equivalent to diagnosis; adult assessment still requires evidence of a longstanding developmental pattern and functional impairment.,Verified
18-04,18. ADHD Across the Lifespan,Expert-Written Health Essay,"Sarah Oreck, MD, MS",My Patients Are Getting ADHD Diagnoses at 40. Here’s What’s Really Happening,SELF,2026-03-02,https://www.self.com/story/adhd-diagnoses-women-at-40,"Examines why some women reach midlife before ADHD is recognized, including masking, accumulated responsibilities, parenthood, and reproductive transitions that may change how manageable symptoms feel.","Highlights the need to reassess scaffolds when life load changes. Systems that once worked may need more visible scheduling, shared household responsibility, treatment review, community support, and reduced reliance on crisis-driven compensation.","Adult women, partners, clinicians, general readers","Free expert-written article. Its discussion of estrogen, dopamine, and symptom worsening reflects an active and developing research area; hormonal associations should not be treated as a complete causal explanation for ADHD symptoms.",Verified
18-05,18. ADHD Across the Lifespan,First-Person / Lived-Experience Essay,Joyce Maynard,I Was Diagnosed With ADHD — at 65,AARP,2025-04-04,https://www.aarp.org/health/conditions-treatments/adhd-diagnosis-after-60/,"A late-life account showing how lifelong reading, organization, distraction, and self-evaluation difficulties can be reinterpreted after a formal ADHD assessment decades after childhood.","Offers concrete examples of self-created scaffolds, including quieter work periods, distraction-controlled environments, routines, lists, and specialized places for important items. The author's experience illustrates possibilities rather than a universal ADHD profile.","Older adults, late-diagnosed adults, families, general readers","AARP web article combining first-person experience with clinician guidance. Late-life attention or memory problems have many possible causes, so new symptoms should not be assumed to be ADHD without appropriate evaluation.",Verified
19-01,19. ADHD & Dissociation,Expert-Written Public Essay,"Megan Anna Neff, PsyD",Dissociation Isn't Always a Trauma Response,Psychology Today,2026-08-31,https://www.psychologytoday.com/us/blog/the-neurodivergent-psychologist/202608/dissociation-isnt-always-a-trauma-response,"Explores how dissociative fog, absorption, and shutdown-like experiences may sometimes occur in neurodivergent people outside the classic trauma pathway, while distinguishing several forms of dissociation.","Suggests matching supports to the likely pathway: trauma-focused care when trauma is central, sensory accommodations when overload is prominent, and alarms or check-ins when absorption causes functional problems. The proposed link between ADHD sensory overload and dissociative shutdown is emerging and has not been systematically established.","Adults with ADHD, autistic and AuDHD readers, clinicians, general readers",Free expert-written article. The author is a clinical psychologist with lived neurodivergent experience. Some sensory-shutdown interpretations are explicitly theoretical or extrapolated from adjacent autism and sensory-processing research.,Verified
19-02,19. ADHD & Dissociation,Medically Reviewed Explainer,"Beth Sissons; medically reviewed by Vara Saripalli, PsyD",What is dissociation in people with ADHD?,Medical News Today,2023-06-09,https://www.medicalnewstoday.com/articles/adhd-dissociation,"Provides a straightforward explanation of dissociation, how it can differ from ordinary zoning out, and why trauma and overlapping symptoms can complicate the relationship between ADHD and dissociative experiences.","Helps readers distinguish attention drift from more concerning detachment, memory gaps, emotional numbing, or depersonalization. It also supports seeking trauma-informed assessment rather than assuming every episode of disconnection is caused by ADHD.","Adults with ADHD, parents, caregivers, general readers",Free medically reviewed article. The ADHD-dissociation literature remains limited and largely associational; dissociation is not a diagnostic symptom of ADHD.,Verified
19-03,19. ADHD & Dissociation,Medically Reviewed Lived-Experience Guide,"Rachael Green; medically reviewed by Claire Eggleston, LMFT-Associate",Dissociation in ADHD,Verywell Mind,2026-03-30,https://www.verywellmind.com/adhd-symptom-spotlight-dissociation-5270278,"Combines a first-person description of the difference between ordinary mind wandering and dissociative detachment with a clinically reviewed overview of trauma, ADHD, and dissociation.","Offers practical grounding scaffolds including sensory orientation, movement, journaling, trigger tracking, therapy, and planned self-care. These strategies may help some people manage dissociative episodes but are not substitutes for assessment when symptoms include substantial memory loss, derealization, or functional impairment.","Adults with ADHD, people experiencing dissociation, general readers","Free article with medical review and cited sources. Some coping recommendations are partly based on the author's personal experience, which is illustrative rather than universal.",Verified
19-04,19. ADHD & Dissociation,First-Person / Lived-Experience Essay,"Ama Scriver; medically reviewed by Timothy J. Legg, PhD, PsyD",Signs Your ADHD Is Linked to Childhood Trauma,Healthline,2020-04-28,https://www.healthline.com/health/adhd/adhd-linked-to-trauma,"Shows from lived experience how hypervigilance, dissociation, trauma responses, and attentional problems can be confused with one another and how that confusion can affect self-understanding and treatment.","Encourages readers to track context and triggers, use organizational supports alongside trauma treatment, and avoid forcing every concentration problem into a single explanation. The author's history is one person's experience and does not establish that trauma causes ADHD.","Adults with ADHD or trauma histories, clinicians, families, general readers","Free Healthline perspective piece with medical review. Useful for illustrating diagnostic overlap, but first-person experience should not be generalized to all people with ADHD or trauma.",Verified
19-05,19. ADHD & Dissociation,Podcast Interview,"Forrest Hanson; Rick Hanson, PhD; Elizabeth Ferreira, AMFT","Working with Your Parts: Complex PTSD, Dissociation, and Hypervigilance with Elizabeth Ferreira",Being Well with Forrest Hanson and Dr. Rick Hanson,2024-12-16,https://podcasts.apple.com/us/podcast/working-with-your-parts-complex-ptsd-dissociation/id1120885936?i=1000680552498,"A long-form conversation about complex trauma, emotional numbing, hypervigilance, dissociation, somatic awareness, and the guest's experience navigating both C-PTSD and ADHD.","Adds practical body-based and relational scaffolds, including noticing capacity before overwhelm, tracking felt safety, working within a window of tolerance, and reconnecting with bodily experience. The episode primarily addresses trauma-related dissociation rather than proving a specific ADHD mechanism.","Adults with ADHD and trauma histories, therapists, listeners interested in somatic approaches",Free podcast episode on major podcast platforms. The discussion blends clinical concepts and lived experience and should be treated as educational rather than diagnostic guidance.,Verified
20-01,20. ADHD & Intelligence / IQ Corollaries,Medically Reviewed Explainer,"Kristeen Cherney; medically reviewed by Nicole Washington, DO, MPH",Why ‘Being Smart’ Doesn’t Erase ADHD,Healthline,2025-08-05,https://www.healthline.com/health/adhd/iq-adhd,Directly challenges the opposing myths that ADHD implies low intelligence or that high intelligence protects someone from meaningful ADHD impairment.,"Supports evaluating real-world functioning separately from intellectual ability. A person may reason exceptionally well and still need external structure for working memory, organization, time management, follow-through, and treatment.","Adults with ADHD, parents, educators, general readers","Free medically reviewed article with research links. ADHD is not an intelligence category, and an IQ score neither establishes nor rules out an ADHD diagnosis.",Verified
20-02,20. ADHD & Intelligence / IQ Corollaries,Expert Interview / Public Essay,"Lisa Rivero, MA; featuring Eric Tivers, LCSW",Tips for Gifted Adults with ADHD,Psychology Today,2018-02-27,https://www.psychologytoday.com/us/blog/creative-synthesis/201802/tips-gifted-adults-adhd,"Explains the twice-exceptional adult experience, including how intellectual strengths may compensate for ADHD for years while inconsistent performance creates shame, overwhelm, and unrealistic expectations.","Encourages problem-solving rather than self-criticism, asking for help, building community, and creating workarounds for executive-function weaknesses instead of assuming intelligence should make support unnecessary.","Gifted and twice-exceptional adults, clinicians, coaches, general readers","Free Psychology Today article built around an interview with ADHD coach and clinician Eric Tivers. Giftedness and ADHD can coexist, but neither automatically implies the other.",Verified
20-03,20. ADHD & Intelligence / IQ Corollaries,Advice Column / Applied Case,Carolyn Hax,Carolyn Hax: Parents at odds over ‘wicked smart’ teen who’s behind in four APs,The Washington Post,2025-12-02,https://www.washingtonpost.com/advice/2025/12/02/carolyn-hax-teen-behind-school-parents-disagree/,"Uses a highly relatable school example to show why a bright student can understand consequences, choose challenging work, and still be unable to consistently execute the required tasks.","Highlights the gap between knowing and doing. Useful scaffolds include executive-function coaching, tutoring, accommodations, appropriate clinical care, workload adjustments, and trusting demonstrated motivation rather than treating missed work as laziness.","Parents, teens with ADHD, educators, general readers",Washington Post advice column; access may be metered. The twice-exceptional framing is useful but the column is not a diagnostic evaluation or research study.,Verified
20-04,20. ADHD & Intelligence / IQ Corollaries,Podcast Interview,"Jeff Copper; Thomas E. Brown, PhD",ADHD and High IQ Uncovering the Connection,Attention Talk Radio via Apple Podcasts,2025-01-22,https://podcasts.apple.com/us/podcast/adhd-and-high-iq-uncovering-the-connection/id323390528?i=1000685153874,An extended expert conversation specifically about ADHD in highly intelligent people and why cognitive strengths can coexist with substantial difficulties in attention regulation and executive functioning.,"Helps readers separate intellectual capacity from the ability to deploy that capacity consistently. It supports building external systems around activation, prioritization, working memory, emotional regulation, and task completion even when reasoning ability is high.","Adults with ADHD, parents, clinicians, coaches, general listeners","Free podcast episode featuring psychologist Thomas E. Brown. Expert interview and clinical interpretation, not primary research; high IQ should not be treated as a characteristic of ADHD itself.",Verified
20-05,20. ADHD & Intelligence / IQ Corollaries,First-Person / Lived-Experience Feature,Noelle Faulkner,"The lost girls: ‘Chaotic and curious, women with ADHD all have missed red flags that haunt us’",The Guardian,2020-11-01,https://www.theguardian.com/society/2020/nov/02/the-lost-girls-chaotic-and-curious-women-with-adhd-all-have-missed-red-flags-that-haunt-us,"Shows how appearing capable, creative, smart, or gifted can help conceal ADHD impairment until accumulated demands and compensatory effort become unsustainable.","Illustrates why scaffolds should target the hidden workload behind apparent success, including planning systems, reduced reliance on masking, realistic workload design, treatment, and supports that do not depend on intelligence compensating indefinitely.","Adults with ADHD, women diagnosed later in life, families, general readers","Free Guardian first-person feature. The author's experience is illustrative rather than universal, and appearing gifted or high-achieving is not evidence for ADHD or for any particular IQ level.",Verified
21-01,21. ADHD Evolutionary Proposals,Science News Feature,Nicola Davis,"ADHD may have been an evolutionary advantage, research suggests",The Guardian,2024-02-20,https://www.theguardian.com/science/2024/feb/21/adhd-may-have-been-an-evolutionary-advantage-research-suggests,"Reports a 2024 foraging experiment in which adults with higher ADHD-like symptom scores switched resource patches sooner and collected more virtual food, offering a concrete test of one adaptive-trait proposal.","Supports the idea that a trait can be costly in one setting and useful in another, which is relevant to designing environments around movement, novelty, exploration, and timely task switching rather than assuming one attentional style fits every task.","Adults with ADHD, families, educators, clinicians, general readers","Free news article. Participants were screened for ADHD-like symptoms rather than clinically diagnosed, and the task was an online simulation. The findings are suggestive, not evidence that ADHD evolved specifically for foraging.",Verified
21-02,21. ADHD Evolutionary Proposals,Medically Reviewed Explainer,"Laura Goldman; Dana Robinson; Brian Krans; medically reviewed by Bethany Juby, PsyD",How Has ADHD Evolved Over Time from Ancient Humans?,Healthline,2025-03-11,https://www.healthline.com/health/adhd/evolution,"Gives ordinary readers an accessible overview of hunter-gatherer, migration, novelty-seeking, and evolutionary-mismatch ideas while also placing them alongside the modern clinical understanding of ADHD.","Helps translate evolutionary framing into practical environmental fit: movement, flexibility, varied tasks, and reduced overreliance on prolonged sedentary attention can be useful supports without replacing diagnosis or evidence-based treatment.","Adults with ADHD, parents, educators, general readers","Free medically reviewed article. Evolutionary explanations remain hypotheses, and associations involving DRD4 or novelty seeking should not be interpreted as a single-gene explanation for ADHD.",Verified
21-03,21. ADHD Evolutionary Proposals,Expert-Written Public Essay,"Justin Garson, PhD",Did ADHD Evolve to Help Us?,Psychology Today,2022-11-22,https://www.psychologytoday.com/us/blog/the-biology-of-human-nature/202211/did-adhd-evolve-to-help-us,"Explains the evolutionary-mismatch and complementary-cognition perspectives in plain language, drawing on research involving nomadic populations, migration history, exploration, and attentional style.","Connects the theory directly to environmental scaffolding, especially education that allows more movement, exploration, interest-based engagement, and cognitive variety instead of treating prolonged stillness as the only successful learning mode.","Adults with ADHD, parents, educators, clinicians, general readers","Free expert-authored essay. Several evolutionary claims are debated, and genetic associations discussed in the article do not demonstrate that ADHD itself was positively selected as a unitary adaptation.",Verified
